ID,Category,Question,Conditions
75,Cutoff,I have 177.5 cutoff. What to choose?,"cutoff=177.5"
76,Cutoff,Colleges for 163.5 cutoff?,"cutoff=163.5"
77,Cutoff,I scored 192.5 cutoff. Show options.,"cutoff=192.5"
78,Cutoff,My cutoff is 157.5. Any engineering college?,"cutoff=157.5"
79,Cutoff,I have 186.5 cutoff. Which colleges can I target?,"cutoff=186.5"
80,Cutoff,Colleges for 144 cutoff?,"cutoff=144"
81,Cutoff,I got 178.5. Give me college options.,"cutoff=178.5"
82,Cutoff,My cutoff is 141. Is any college possible?,"cutoff=141"
83,Cutoff,I have 172.5 cutoff. Suggest colleges.,"cutoff=172.5"
84,Cutoff,Which colleges for 168.5 cutoff?,"cutoff=168.5"
85,Cutoff,My cutoff 197.5. Show colleges.,"cutoff=197.5"
86,Cutoff,I have 142 cutoff. Which colleges to apply?,"cutoff=142"
87,Cutoff,Colleges for 182.5 cutoff?,"cutoff=182.5"
88,Cutoff,I got 161.5 cutoff. Give me options.,"cutoff=161.5"
89,Cutoff,My cutoff is 171.5. Which colleges?,"cutoff=171.5"
90,Cutoff,I have 188.5 cutoff. Show top colleges.,"cutoff=188.5"
91,Cutoff,What colleges for 153.5 cutoff?,"cutoff=153.5"
92,Cutoff,I have 193.5 cutoff. Which top colleges can I get?,"cutoff=193.5"
93,Cutoff,My cutoff 158.5 any options?,"cutoff=158.5"
94,Cutoff,I got 179.5 cutoff. Show colleges.,"cutoff=179.5"
95,Cutoff,colleges for 184.5 cutoff?,"cutoff=184.5"
96,Cutoff,I have 162.5 cutoff. Can I get any government college?,"cutoff=162.5"
97,Cutoff,My cutoff is 173.5. What engineering colleges?,"cutoff=173.5"
98,Cutoff,I got 167.5 cutoff. Which to choose?,"cutoff=167.5"
99,Cutoff,Colleges for 187.5 cutoff?,"cutoff=187.5"
100,Cutoff,I have 156.5 cutoff. Any good college near my area?,"cutoff=156.5"
101,Branch,Which colleges offer CSE?,"branch=CSE"
102,Branch,Show me colleges with IT branch.,"branch=Information Technology"
103,Branch,Which colleges have ECE branch?,"branch=ECE"
104,Branch,Colleges offering EEE branch in Tamil Nadu?,"branch=EEE"
105,Branch,I want Mechanical Engineering. Which colleges offer it?,"branch=Mechanical Engineering"
106,Branch,Show Civil Engineering colleges.,"branch=Civil Engineering"
107,Branch,Which colleges offer Chemical Engineering?,"branch=Chemical Engineering"
108,Branch,Give me colleges with Petrochemical Engineering branch.,"branch=Petrochemical Engineering"
109,Branch,Biotechnology colleges in Tamil Nadu?,"branch=Biotechnology"
110,Branch,Biomedical Engineering colleges list?,"branch=Biomedical Engineering"
111,Branch,Which colleges have AI & Data Science branch?,"branch=AI & Data Science"
112,Branch,Show AI & ML colleges in Tamil Nadu.,"branch=AI & ML"
113,Branch,Automobile Engineering colleges list?,"branch=Automobile Engineering"
114,Branch,Which colleges offer Aeronautical Engineering?,"branch=Aeronautical Engineering"
115,Branch,Show me Mechatronics colleges.,"branch=Mechatronics"
116,Branch,Food Technology colleges in Tamil Nadu?,"branch=Food Technology"
117,Branch,Which colleges offer Industrial Engineering?,"branch=Industrial Engineering"
118,Branch,Robotics and Automation colleges list?,"branch=Robotics and Automation"
119,Branch,Which colleges offer AI&DS branch?,"branch=AI & Data Science"
120,Branch,I want to study CSE. Which are the best colleges?,"branch=CSE"
121,Branch,Give me a list of Mechanical Engineering colleges.,"branch=Mechanical Engineering"
122,Branch,Which colleges are available for IT branch?,"branch=Information Technology"
123,Branch,I want Chemical Engineering. Which colleges have it?,"branch=Chemical Engineering"
124,Branch,Show me ECE colleges in Tamil Nadu.,"branch=ECE"
125,Branch,Petrochemical Engineering college list?,"branch=Petrochemical Engineering"
126,Branch,Which colleges offer Biomedical Engineering?,"branch=Biomedical Engineering"
127,Branch,I want Biotechnology. Which colleges should I apply?,"branch=Biotechnology"
128,Branch,AI&ML colleges available in Tamil Nadu?,"branch=AI & ML"
129,Branch,Which colleges have Mechatronics?,"branch=Mechatronics"
130,Branch,Show all colleges with Aeronautical Engineering.,"branch=Aeronautical Engineering"
131,Branch,Automobile Engineering colleges in Tamil Nadu?,"branch=Automobile Engineering"
132,Branch,Give me colleges with Food Technology branch.,"branch=Food Technology"
133,Branch,Which colleges offer Robotics and Automation?,"branch=Robotics and Automation"
134,Branch,EEE colleges list?,"branch=EEE"
135,Branch,Which colleges have Civil Engineering branch?,"branch=Civil Engineering"
136,Branch,I need colleges that offer Industrial Engineering.,"branch=Industrial Engineering"
137,Branch,Show me CSE colleges only.,"branch=CSE"
138,Branch,Best colleges for ECE branch?,"branch=ECE"
139,Branch,I want to study AI. Which branches are available?,"branch=AI & Data Science"
140,Branch,Mechanical or Civil which branch has more colleges?,"branch=Mechanical Engineering, branch=Civil Engineering"
141,Branch,Show all IT branch colleges.,"branch=Information Technology"
142,Branch,Any college offering Marine Engineering?,"branch=Marine Engineering"
143,Branch,Which colleges offer Textile Technology?,"branch=Textile Technology"
144,Branch,Printing Technology colleges in Tamil Nadu?,"branch=Printing Technology"
145,Branch,Which colleges offer Computer Science and Business Systems?,"branch=CSBS"
146,Branch,Give me colleges with Data Science branch.,"branch=Data Science"
147,Branch,Which colleges have Cyber Security branch?,"branch=Cyber Security"
148,Branch,Show colleges with Cloud Computing course.,"branch=Cloud Computing"
149,Branch,Which colleges offer Electronics and Instrumentation?,"branch=Electronics and Instrumentation"
150,Branch,I want to study Chemical Engineering. Which colleges offer it?,"branch=Chemical Engineering"
151,Branch,CSE colleges which are the top?,"branch=CSE"
152,Branch,ECE branches available in which colleges?,"branch=ECE"
153,Branch,I want AI&DS which college?,"branch=AI & Data Science"
154,Branch,Petrochemical engineering colleges list?,"branch=Petrochemical Engineering"
155,Branch,which college offers biotechnology?,"branch=Biotechnology"
156,Branch,Mechanical engineering college nearby?,"branch=Mechanical Engineering"
157,Branch,IT branch colleges in tamilnadu,"branch=Information Technology"
158,Branch,I want to do EEE which college is best?,"branch=EEE"
159,Branch,Civil engineering good or Mechanical which to choose?,"branch=Civil Engineering, branch=Mechanical Engineering"
160,Branch,Which college has good aeronautical engineering?,"branch=Aeronautical Engineering"
161,Branch,Biomedical engineering best college?,"branch=Biomedical Engineering"
162,Branch,Mechatronics engineering which college?,"branch=Mechatronics"
163,Branch,Food Technology which college in Tamil Nadu?,"branch=Food Technology"
164,Branch,Robotics automation which colleges offer?,"branch=Robotics and Automation"
165,Branch,Industrial engineering college list please?,"branch=Industrial Engineering"
166,Branch,automobile engineering which college best?,"branch=Automobile Engineering"
167,Branch,AI ML colleges where?,"branch=AI & ML"
168,Branch,Chemical engineering college suggestions?,"branch=Chemical Engineering"
169,Branch,CSE or AI&DS which is better to study?,"branch=CSE, branch=AI & Data Science"
170,Branch,Which branches have more job opportunities?,"branch=general"
171,Branch,Give me colleges that offer both CSE and AI&DS.,"branch=CSE, branch=AI & Data Science"
172,Branch,Which colleges have ECE and have good labs?,"branch=ECE"
173,Branch,I want Biotechnology or Biomedical. Which colleges?,"branch=Biotechnology, branch=Biomedical Engineering"
174,Branch,Colleges offering Software Engineering branch?,"branch=Software Engineering"
175,Branch,Which is the most demanded branch now?,"branch=general"
176,Branch,Show colleges with new age branches like AI and Robotics.,"branch=AI & Data Science, branch=Robotics and Automation"
177,Branch,ECE EEE which is better?,"branch=ECE, branch=EEE"
178,Branch,Which colleges offer both Mechanical and Automobile?,"branch=Mechanical Engineering, branch=Automobile Engineering"
179,Branch,CSE colleges that have specialization in AI?,"branch=CSE"
180,Branch,Which is better Petrochemical or Chemical Engineering?,"branch=Petrochemical Engineering, branch=Chemical Engineering"
181,Branch,Give me colleges offering Mechatronics Engineering.,"branch=Mechatronics"
182,Branch,Which colleges have B.Tech programs in AI?,"branch=AI & Data Science"
183,Branch,Show all colleges that offer Aeronautical Engineering.,"branch=Aeronautical Engineering"
184,Branch,Biotechnology vs Biomedical which has better scope?,"branch=Biotechnology, branch=Biomedical Engineering"
185,Branch,I want to study ECE. Which good colleges?,"branch=ECE"
186,Branch,Colleges offering cyber security branch?,"branch=Cyber Security"
187,Branch,Which colleges have CSBS course?,"branch=CSBS"
188,Branch,Industrial Engineering colleges where?,"branch=Industrial Engineering"
189,Branch,Civil Engineering scope and colleges?,"branch=Civil Engineering"
190,Branch,Which colleges offer Chemical Engineering with labs?,"branch=Chemical Engineering"
191,Branch,Food Technology worth studying? Which colleges?,"branch=Food Technology"
192,Branch,Robotics Engineering colleges in Tamil Nadu?,"branch=Robotics and Automation"
193,Branch,Marine Engineering colleges list?,"branch=Marine Engineering"
194,Branch,Best EEE colleges in Tamil Nadu?,"branch=EEE"
195,Branch,Which branch between AI and CSE has more jobs?,"branch=AI & Data Science, branch=CSE"
196,Branch,I want to study Mechatronics or Robotics which is best?,"branch=Mechatronics, branch=Robotics and Automation"
197,Branch,Show AI Data Science colleges.,"branch=AI & Data Science"
198,Branch,Which colleges offer all engineering branches?,"branch=general"
199,Branch,Give me colleges offering Biomedical Engineering.,"branch=Biomedical Engineering"
200,Branch,Automobile Engineering good scope? Which colleges?,"branch=Automobile Engineering"
201,District,Which colleges are in Chennai?,"district=Chennai"
202,District,Show me engineering colleges in Coimbatore.,"district=Coimbatore"
203,District,Engineering colleges in Madurai district?,"district=Madurai"
204,District,Which colleges are available in Salem?,"district=Salem"
205,District,Colleges in Tiruchirappalli district?,"district=Tiruchirappalli"
206,District,Show engineering colleges in Tirunelveli.,"district=Tirunelveli"
207,District,Colleges in Erode district?,"district=Erode"
208,District,Engineering colleges in Vellore?,"district=Vellore"
209,District,Which colleges are in Thanjavur?,"district=Thanjavur"
210,District,Colleges in Dindigul?,"district=Dindigul"
211,District,Show colleges in Villupuram.,"district=Villupuram"
212,District,Engineering colleges in Cuddalore district?,"district=Cuddalore"
213,District,Which colleges are in Kanchipuram?,"district=Kanchipuram"
214,District,Colleges in Chengalpattu?,"district=Chengalpattu"
215,District,Engineering colleges in Kallakurichi?,"district=Kallakurichi"
216,District,Which colleges are in Dharmapuri?,"district=Dharmapuri"
217,District,Colleges in Krishnagiri district?,"district=Krishnagiri"
218,District,Engineering colleges in Namakkal?,"district=Namakkal"
219,District,Colleges in Karur?,"district=Karur"
220,District,Show engineering colleges in Sivaganga.,"district=Sivaganga"
221,District,Colleges in Ramanathapuram?,"district=Ramanathapuram"
222,District,Engineering colleges in Virudhunagar?,"district=Virudhunagar"
223,District,Which colleges are in Thoothukudi?,"district=Thoothukudi"
224,District,Colleges in Tenkasi district?,"district=Tenkasi"
225,District,Engineering colleges in Tiruppur?,"district=Tiruppur"
226,District,Colleges in Nilgiris district?,"district=Nilgiris"
227,District,Engineering colleges in Nagapattinam?,"district=Nagapattinam"
228,District,Which colleges are in Mayiladuthurai?,"district=Mayiladuthurai"
229,District,Colleges in Perambalur?,"district=Perambalur"
230,District,Engineering colleges in Ariyalur?,"district=Ariyalur"
231,District,Which colleges are in Tiruvallur?,"district=Tiruvallur"
232,District,Colleges in Ranipet district?,"district=Ranipet"
233,District,Engineering colleges in Tirupattur?,"district=Tirupattur"
234,District,Which colleges near Coimbatore?,"district=Coimbatore"
235,District,Show colleges in and around Chennai.,"district=Chennai"
236,District,Colleges near Madurai?,"district=Madurai"
237,District,Engineering colleges in Salem district?,"district=Salem"
238,District,Which colleges are near Trichy?,"district=Tiruchirappalli"
239,District,Colleges in Tirunelveli area?,"district=Tirunelveli"
240,District,Erode district colleges list?,"district=Erode"
241,District,Colleges in Vellore district?,"district=Vellore"
242,District,Engineering colleges in Thanjavur district?,"district=Thanjavur"
243,District,Colleges near Dindigul?,"district=Dindigul"
244,District,Show me colleges in Villupuram district.,"district=Villupuram"
245,District,Engineering colleges in Kanchipuram?,"district=Kanchipuram"
246,District,Colleges near Chengalpattu?,"district=Chengalpattu"
247,District,Show colleges in North Tamil Nadu districts.,"district=general"
248,District,Colleges in South Tamil Nadu?,"district=general"
249,District,Engineering colleges near Vellore?,"district=Vellore"
250,District,Give me colleges in my district Erode.,"district=Erode"
251,District,Which districts in Tamil Nadu have most engineering colleges?,"district=general"
252,District,colleges in tirupur?,"district=Tiruppur"
253,District,colleges in cuddalore or villupuram?,"district=Cuddalore, district=Villupuram"
254,District,Give me college list for Krishnagiri district.,"district=Krishnagiri"
255,District,Show colleges in Dharmapuri.,"district=Dharmapuri"
256,District,Engineering colleges in Namakkal district?,"district=Namakkal"
257,District,Colleges in Karur or Erode?,"district=Karur, district=Erode"
258,District,Which colleges in Ramanathapuram?,"district=Ramanathapuram"
259,District,Colleges in Virudhunagar area?,"district=Virudhunagar"
260,District,Engineering colleges in Thoothukudi?,"district=Thoothukudi"
261,District,Colleges in Tenkasi?,"district=Tenkasi"
262,District,Which colleges are near Tiruppur district?,"district=Tiruppur"
263,District,Show Nagapattinam colleges.,"district=Nagapattinam"
264,District,Colleges in Mayiladuthurai?,"district=Mayiladuthurai"
265,District,Perambalur colleges?,"district=Perambalur"
266,District,Ariyalur engineering colleges?,"district=Ariyalur"
267,District,Colleges in Tiruvallur?,"district=Tiruvallur"
268,District,Engineering colleges in Ranipet district?,"district=Ranipet"
269,District,Tirupattur colleges?,"district=Tirupattur"
270,District,Sivaganga district engineering colleges?,"district=Sivaganga"
271,District,Colleges near Trichy district?,"district=Tiruchirappalli"
272,District,Which districts have government engineering colleges?,"district=general"
273,District,Kallakurichi colleges?,"district=Kallakurichi"
274,District,Salem and Namakkal colleges?,"district=Salem, district=Namakkal"
275,District,Colleges in western Tamil Nadu?,"district=general"
276,District,I want college near Coimbatore or Erode.,"district=Coimbatore, district=Erode"
277,District,Tirunelveli and Thoothukudi colleges?,"district=Tirunelveli, district=Thoothukudi"
278,District,Colleges in Thanjavur or Tiruchirappalli?,"district=Thanjavur, district=Tiruchirappalli"
279,District,Show me colleges in Vellore or Ranipet.,"district=Vellore, district=Ranipet"
280,District,Engineering colleges in Dindigul or Madurai?,"district=Dindigul, district=Madurai"
281,District,Colleges in Chennai and nearby districts?,"district=Chennai, district=Kanchipuram, district=Chengalpattu"
282,District,Show colleges in Coimbatore nearby areas.,"district=Coimbatore"
283,District,Colleges in Salem nearby?,"district=Salem"
284,District,Madurai nearby colleges?,"district=Madurai"
285,District,Engineering colleges in Tiruchirappalli and Thanjavur?,"district=Tiruchirappalli, district=Thanjavur"
286,District,Colleges in Tirunelveli district list?,"district=Tirunelveli"
287,District,Erode engineering colleges list?,"district=Erode"
288,District,Vellore area colleges list?,"district=Vellore"
289,District,Colleges in central Tamil Nadu?,"district=general"
290,District,Chennai colleges list please?,"district=Chennai"
291,District,Show all colleges in Cuddalore.,"district=Cuddalore"
292,District,Kanchipuram district college list?,"district=Kanchipuram"
293,District,Colleges in Chengalpattu district?,"district=Chengalpattu"
294,District,Virudhunagar and Tenkasi colleges?,"district=Virudhunagar, district=Tenkasi"
295,District,Thoothukudi engineering colleges?,"district=Thoothukudi"
296,District,Nagapattinam district college list?,"district=Nagapattinam"
297,District,Colleges near Mayiladuthurai?,"district=Mayiladuthurai"
298,District,Nilgiris engineering colleges?,"district=Nilgiris"
299,District,Show Krishnagiri engineering colleges.,"district=Krishnagiri"
300,District,Dharmapuri and Krishnagiri colleges?,"district=Dharmapuri, district=Krishnagiri"
301,Branch + District,Which CSE colleges are available in Coimbatore?,"branch=CSE, district=Coimbatore"
302,Branch + District,Which Chemical Engineering colleges are in Villupuram?,"branch=Chemical Engineering, district=Villupuram"
303,Branch + District,Show ECE colleges in Chennai.,"branch=ECE, district=Chennai"
304,Branch + District,Which Mechanical colleges are available in Salem?,"branch=Mechanical Engineering, district=Salem"
305,Branch + District,Give me Petrochemical Engineering colleges in Villupuram district.,"branch=Petrochemical Engineering, district=Villupuram"
306,Branch + District,CSE colleges in Madurai?,"branch=CSE, district=Madurai"
307,Branch + District,ECE colleges in Coimbatore?,"branch=ECE, district=Coimbatore"
308,Branch + District,Mechanical Engineering colleges in Tiruchirappalli?,"branch=Mechanical Engineering, district=Tiruchirappalli"
309,Branch + District,Civil Engineering colleges in Tirunelveli?,"branch=Civil Engineering, district=Tirunelveli"
310,Branch + District,EEE colleges in Salem?,"branch=EEE, district=Salem"
311,Branch + District,Which IT branch colleges are in Vellore?,"branch=Information Technology, district=Vellore"
312,Branch + District,AI & Data Science colleges in Chennai?,"branch=AI & Data Science, district=Chennai"
313,Branch + District,Biotechnology colleges in Coimbatore?,"branch=Biotechnology, district=Coimbatore"
314,Branch + District,Biomedical Engineering colleges in Chennai?,"branch=Biomedical Engineering, district=Chennai"
315,Branch + District,Aeronautical Engineering colleges in Kanchipuram?,"branch=Aeronautical Engineering, district=Kanchipuram"
316,Branch + District,Automobile Engineering colleges in Coimbatore?,"branch=Automobile Engineering, district=Coimbatore"
317,Branch + District,AI & ML colleges in Chengalpattu?,"branch=AI & ML, district=Chengalpattu"
318,Branch + District,Mechatronics colleges in Erode?,"branch=Mechatronics, district=Erode"
319,Branch + District,Food Technology colleges in Thanjavur?,"branch=Food Technology, district=Thanjavur"
320,Branch + District,Robotics colleges in Chennai?,"branch=Robotics and Automation, district=Chennai"
321,Branch + District,CSE colleges in Tiruchirappalli?,"branch=CSE, district=Tiruchirappalli"
322,Branch + District,ECE colleges in Madurai?,"branch=ECE, district=Madurai"
323,Branch + District,Mechanical Engineering colleges in Coimbatore?,"branch=Mechanical Engineering, district=Coimbatore"
324,Branch + District,Civil Engineering colleges in Chennai?,"branch=Civil Engineering, district=Chennai"
325,Branch + District,EEE colleges in Coimbatore?,"branch=EEE, district=Coimbatore"
326,Branch + District,IT colleges in Madurai?,"branch=Information Technology, district=Madurai"
327,Branch + District,Chemical Engineering colleges in Cuddalore?,"branch=Chemical Engineering, district=Cuddalore"
328,Branch + District,Petrochemical Engineering colleges in Cuddalore?,"branch=Petrochemical Engineering, district=Cuddalore"
329,Branch + District,Biotechnology colleges in Thanjavur?,"branch=Biotechnology, district=Thanjavur"
330,Branch + District,Biomedical Engineering colleges in Coimbatore?,"branch=Biomedical Engineering, district=Coimbatore"
331,Branch + District,CSE colleges in Tirunelveli?,"branch=CSE, district=Tirunelveli"
332,Branch + District,AI&DS colleges in Coimbatore?,"branch=AI & Data Science, district=Coimbatore"
333,Branch + District,ECE colleges in Tirunelveli?,"branch=ECE, district=Tirunelveli"
334,Branch + District,Mechanical Engineering in Dindigul colleges?,"branch=Mechanical Engineering, district=Dindigul"
335,Branch + District,CSE colleges in Salem?,"branch=CSE, district=Salem"
336,Branch + District,ECE in Vellore colleges?,"branch=ECE, district=Vellore"
337,Branch + District,Mechanical Engineering in Erode?,"branch=Mechanical Engineering, district=Erode"
338,Branch + District,CSE colleges in Erode?,"branch=CSE, district=Erode"
339,Branch + District,AI&ML colleges in Chennai?,"branch=AI & ML, district=Chennai"
340,Branch + District,EEE colleges in Tiruchirappalli?,"branch=EEE, district=Tiruchirappalli"
341,Branch + District,Chemical Engineering colleges in Madurai?,"branch=Chemical Engineering, district=Madurai"
342,Branch + District,Civil Engineering in Salem?,"branch=Civil Engineering, district=Salem"
343,Branch + District,Aerospace Engineering colleges in Chennai?,"branch=Aeronautical Engineering, district=Chennai"
344,Branch + District,Mechatronics Engineering in Coimbatore?,"branch=Mechatronics, district=Coimbatore"
345,Branch + District,Biotechnology in Madurai?,"branch=Biotechnology, district=Madurai"
346,Branch + District,Automobile Engineering in Chennai?,"branch=Automobile Engineering, district=Chennai"
347,Branch + District,IT colleges in Coimbatore?,"branch=Information Technology, district=Coimbatore"
348,Branch + District,Robotics Engineering in Coimbatore?,"branch=Robotics and Automation, district=Coimbatore"
349,Branch + District,Chemical Engineering in Salem district?,"branch=Chemical Engineering, district=Salem"
350,Branch + District,CSE colleges near Kanchipuram?,"branch=CSE, district=Kanchipuram"
351,Branch + District,CSE colleges in Thanjavur?,"branch=CSE, district=Thanjavur"
352,Branch + District,ECE colleges in Dharmapuri?,"branch=ECE, district=Dharmapuri"
353,Branch + District,Mechanical Engineering in Namakkal?,"branch=Mechanical Engineering, district=Namakkal"
354,Branch + District,Civil Engineering colleges in Tiruppur?,"branch=Civil Engineering, district=Tiruppur"
355,Branch + District,EEE colleges in Krishnagiri?,"branch=EEE, district=Krishnagiri"
356,Branch + District,AI&DS in Madurai colleges?,"branch=AI & Data Science, district=Madurai"
357,Branch + District,CSE colleges in Karur?,"branch=CSE, district=Karur"
358,Branch + District,Biotechnology in Villupuram?,"branch=Biotechnology, district=Villupuram"
359,Branch + District,Mechanical Engineering in Thoothukudi?,"branch=Mechanical Engineering, district=Thoothukudi"
360,Branch + District,ECE in Tiruppur colleges?,"branch=ECE, district=Tiruppur"
361,Branch + District,CSE colleges in Chengalpattu?,"branch=CSE, district=Chengalpattu"
362,Branch + District,Chemical Engineering in Nagapattinam?,"branch=Chemical Engineering, district=Nagapattinam"
363,Branch + District,IT colleges in Salem?,"branch=Information Technology, district=Salem"
364,Branch + District,Mechanical Engineering in Madurai?,"branch=Mechanical Engineering, district=Madurai"
365,Branch + District,Civil Engineering in Trichy?,"branch=Civil Engineering, district=Tiruchirappalli"
366,Branch + District,EEE colleges in Tirunelveli?,"branch=EEE, district=Tirunelveli"
367,Branch + District,CSE in Krishnagiri district?,"branch=CSE, district=Krishnagiri"
368,Branch + District,Biomedical Engineering in Madurai?,"branch=Biomedical Engineering, district=Madurai"
369,Branch + District,Food Technology colleges in Coimbatore?,"branch=Food Technology, district=Coimbatore"
370,Branch + District,AI&ML in Coimbatore colleges?,"branch=AI & ML, district=Coimbatore"
371,Branch + District,Industrial Engineering in Chennai?,"branch=Industrial Engineering, district=Chennai"
372,Branch + District,Aeronautical Engineering in Tirunelveli?,"branch=Aeronautical Engineering, district=Tirunelveli"
373,Branch + District,Automobile Engineering in Salem?,"branch=Automobile Engineering, district=Salem"
374,Branch + District,Mechatronics Engineering in Salem?,"branch=Mechatronics, district=Salem"
375,Branch + District,CSE colleges in Tirupattur?,"branch=CSE, district=Tirupattur"
376,Branch + District,IT colleges in Tiruchirappalli?,"branch=Information Technology, district=Tiruchirappalli"
377,Branch + District,ECE colleges in Namakkal?,"branch=ECE, district=Namakkal"
378,Branch + District,Mechanical Engineering in Tirunelveli?,"branch=Mechanical Engineering, district=Tirunelveli"
379,Branch + District,Civil Engineering in Madurai?,"branch=Civil Engineering, district=Madurai"
380,Branch + District,Biotechnology colleges in Chennai?,"branch=Biotechnology, district=Chennai"
381,Branch + District,EEE in Erode colleges?,"branch=EEE, district=Erode"
382,Branch + District,CSE in Dindigul district?,"branch=CSE, district=Dindigul"
383,Branch + District,IT colleges in Tirunelveli?,"branch=Information Technology, district=Tirunelveli"
384,Branch + District,Mechanical Engineering in Kanchipuram?,"branch=Mechanical Engineering, district=Kanchipuram"
